class_name,rank,GENE,coef
Basal,1,MIA,1.2619499936930028
Basal,2,TRIM29,1.25016815921542
Basal,3,KLK7,1.069633651855952
Basal,4,VGLL1,1.0602706588776785
Basal,5,ART3,1.055320901515548
Basal,6,CCDC34,0.9704335519393883
Basal,7,TYMSOS,0.9153621190191296
Basal,8,HOXA5,0.8936493498750373
Basal,9,IL6,0.851742921410578
Basal,10,ALKAL2,0.7619707637908695
Basal,11,CXCL17,0.739796858154106
Basal,12,CDKN3,0.7021327141684968
Basal,13,NKX2-2,0.6789823244907647
Basal,14,COL17A1,0.5333665170116385
Basal,15,DSG3,0.5028657758253076
Her2,1,ACP7,1.0490315923008429
Her2,2,FGFR4,0.8975000923581337
Her2,3,GRB7,0.6602138078615154
Her2,4,VGLL1,0.6412335374356631
Her2,5,AQP9,0.6119070659888337
Her2,6,PRMT1,0.5306696311137313
Her2,7,NRIP1,0.4604843923383163
Her2,8,SLC30A2,0.36939683272180834
Her2,9,SPTSSB,0.36838246680490183
Her2,10,SCRG1,0.358135711098837
Her2,11,TRIM29,0.34666405614168155
Her2,12,NUSAP1,0.32453892100360204
Her2,13,OVOL2,0.2967807945755062
Her2,14,CCDC151,0.2827371614747897
Her2,15,KLK5,0.2597013094823395
LumA,1,KRT5,0.7072975836737915
LumA,2,KRT14,0.6829379734799584
LumA,3,MIA,0.6232634105463295
LumA,4,KLK5,0.6228126565529474
LumA,5,NRIP1,0.5265167585943848
LumA,6,PLA2G2A,0.4726588307613986
LumA,7,ANKRD30BP3,0.47120139950772705
LumA,8,OBP2A,0.4683410164450108
LumA,9,RBM24,0.43155418971744
LumA,10,SLC6A4,0.42547134312626206
LumA,11,CACNA1H,0.42078017972027737
LumA,12,DCD,0.3666543534384234
LumA,13,PCSK1,0.3574805961307303
LumA,14,OPRPN,0.35621387244189273
LumA,15,CCDC151,0.34339954249972066
LumB,1,CDK1,0.8559954106628419
LumB,2,AXIN2,0.7027919744770168
LumB,3,AQP9,0.6617434429557749
LumB,4,CDHR3,0.6455017651885153
LumB,5,RBM24,0.5416329439924328
LumB,6,OBP2A,0.5304185223152061
LumB,7,SLC30A8,0.48277446808420854
LumB,8,NUSAP1,0.4788915533812237
LumB,9,OPRPN,0.4574102940128849
LumB,10,PHGR1,0.3357709252541755
LumB,11,SLC6A4,0.30742262449867125
LumB,12,MMP13,0.30669313141057947
LumB,13,BRINP3,0.2839929224531507
LumB,14,NRIP1,0.2832192275509566
LumB,15,CDCA3,0.27248405120362146
