Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,library
Reactome_2022,Metal Ion SLC Transporters R-HSA-425410,3/26,8.840741982400904e-05,0.019891669460402,0,0,40.57744565217392,378.73180684340775,SLC30A8;SLC30A2;CP,Reactome_2022
Reactome_2022,Zinc Efflux And Compartmentalization By SLC30 Family R-HSA-435368,2/7,0.00022965549708399584,0.0258362434219495,0,0,122.63384615384616,1027.5404383913506,SLC30A8;SLC30A2,Reactome_2022
Reactome_2022,MAPK3 (ERK1) Activation R-HSA-110056,2/10,0.0004889339976743091,0.0366700498255731,0,0,76.63461538461539,584.2073646335838,IL6;CDK1,Reactome_2022
GO_Biological_Process_2023,Zinc Ion Import Into Organelle (GO:0062111),2/6,0.00016439509275837475,0.0472359867589598,0,0,153.3,1335.7393739315212,SLC30A8;SLC30A2,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Component Disassembly (GO:0022411),3/46,0.0004920415287391648,0.0472359867589598,0,0,21.68241279069768,165.15379853468102,MMP13;KLK5;KLK7,GO_Biological_Process_2023
GO_Biological_Process_2023,Epidermis Development (GO:0008544),4/85,0.00018990694120215703,0.0472359867589598,0,0,15.561042524005488,133.34220597538965,COL17A1;KLK5;KLK7;OVOL2,GO_Biological_Process_2023
GO_Biological_Process_2023,Extracellular Matrix Disassembly (GO:0022617),3/44,0.0004313457646297631,0.0472359867589598,0,0,22.742378048780488,176.2216030880505,MMP13;KLK5;KLK7,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),6/283,0.0003684767604292421,0.0472359867589598,0,0,6.9797005385571405,55.18244015526886,IL6;PLA2G2A;AXIN2;RBM24;BRINP3;HOXA5,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Defense Response To Bacterium (GO:1900426),2/10,0.0004889339976743091,0.0472359867589598,0,0,76.63461538461539,584.2073646335838,KLK5;KLK7,GO_Biological_Process_2023
Reactome_2022,Zinc Transporters R-HSA-435354,2/17,0.0014554664168464,0.0735239387978533,0,0,40.8574358974359,266.8982937419867,SLC30A8;SLC30A2,Reactome_2022
