GENE,mean_abscoef,sd_abscoef
CALML3,0.033263825,0.00902072
OBP2A,0.028511394,0.012140948
SLC30A8,0.02613435,0.0067718043
KLK7,0.023344386,0.0072553144
FGFR4,0.022403225,0.008955777
DHRS2,0.021297235,0.007272448
TYMSOS,0.020478798,0.0062040226
CDKN3,0.02032087,0.0047702123
NUSAP1,0.020274881,0.00359803
MMP13,0.019782452,0.0066467775
ACP7,0.019337349,0.0046760202
CTXN1,0.018857848,0.0050052553
MIEN1,0.018828133,0.004245001
CCL13,0.018703202,0.0077535613
PDZK1,0.018535458,0.006485627
KLK12,0.01828604,0.004403897
CENPF,0.018078182,0.0038606382
ANXA8,0.017946295,0.0044808
GRB7,0.01792768,0.0047183
CEP55,0.017835308,0.0027334243
KRT5,0.017637383,0.0021553237
TYMS,0.017529152,0.0042031533
S100A14,0.017290143,0.006726797
PLA2G2A,0.017195236,0.00333601
OPRPN,0.016587874,0.008383082
SLURP1,0.0156241,0.0012478147
OVOL2,0.0153365,0.005164125
A2ML1,0.0150347855,0.0063352585
ACE2,0.015008491,0.0059279036
EIF4G2,0.0149943335,0.007086134
PCLAF,0.014928592,0.0054308064
COL17A1,0.014902386,0.0030227657
PVALB,0.014875433,0.00797588
ART3,0.014660517,0.0044078194
DEFB1,0.0144827785,0.009415831
GSTM1,0.014278898,0.0050097983
PKP1,0.014272468,0.0067045563
PRR36,0.014061476,0.0042743827
KRT14,0.014012603,0.0047850027
EGFR,0.013942489,0.0082629705
ANKRD30BP3,0.013826805,0.0074275215
HRCT1,0.01366988,0.008069819
DKK1,0.013642795,0.004201001
MARCO,0.013545437,0.0077773556
TJP3,0.013235999,0.0036409206
CEACAM5,0.013197168,0.0051747765
FDCSP,0.013181162,0.0041233236
CARTPT,0.013050674,0.0064658015
PHGR1,0.0129286945,0.006980653
RBM20,0.012821567,0.0038000625
KCTD12,0.012760678,0.004662577
MELK,0.012652837,0.0055538733
KPNA2,0.012519054,0.0061196825
CDCA3,0.012437905,0.0033247392
ALKAL2,0.012431995,0.0051648896
CDK1,0.012420734,0.0043272856
LYVE1,0.0124055855,0.004759544
AQP9,0.012378174,0.008202832
RAPGEFL1,0.012314756,0.0068775793
CORO6,0.01226618,0.010510704
DHRS9,0.012200577,0.0051864954
SPTSSB,0.012186985,0.0028925978
CDR2L,0.0121828765,0.0017150305
GPR26,0.012139816,0.0048461817
CXCL17,0.012115223,0.0051681944
NKX2-2,0.011924663,0.0039880555
KLK5,0.011905344,0.0027310804
VGLL1,0.0117997425,0.005775892
PTTG1,0.011768422,0.004398135
ROPN1,0.01174178,0.0025949269
UBE2T,0.01172629,0.0019728271
ELOVL2,0.011672076,0.0050346213
ERBB3,0.011512448,0.004902563
CGA,0.011448815,0.004772363
CST5,0.011373287,0.0036182196
NTRK2,0.011270979,0.0044095023
UGT2B28,0.01126516,0.0027511641
PIGR,0.011241725,0.0060793906
SLC6A4,0.011136242,0.0036007767
CPB1,0.011119406,0.0015668425
STARD3,0.011109603,0.0034246375
LRP1B,0.011094676,0.0041887136
SCRG1,0.011082204,0.0022789116
PTPRN2,0.011030867,0.0046658376
VIPR2,0.010878958,0.0058978572
MALL,0.010664693,0.0035987506
DSG3,0.010658798,0.0061942087
C7,0.010475067,0.007623018
RAB25,0.01041164,0.002465182
GRIA2,0.010370572,0.003479015
FOXQ1,0.0103617925,0.008738883
CLEC3A,0.010318759,0.0042111557
HOXB-AS3,0.0102922,0.006649774
KCNE4,0.010233693,0.007236984
WDR72,0.010168104,0.004842302
PRC1,0.010104868,0.004247912
CAT,0.010057392,0.0046092235
SERPINI1,0.009960674,0.003137439
OIP5,0.009951899,0.004329094
HLA-DRB5,0.009948748,0.0034967938
NEK2,0.009909386,0.0064719315
FOLR1,0.0098950565,0.0034741736
CHGA,0.009871468,0.0028844073
SNAR-A3,0.009828073,0.004455507
C4B,0.0097676255,0.0024338271
GNG4,0.009734816,0.0026855182
PTPRF,0.009733491,0.006254408
SCG2,0.009632231,0.004902945
ELP2,0.009596941,0.00560527
NCAPG,0.009574407,0.0015112495
GLDC,0.009498147,0.005283509
SOSTDC1,0.00944944,0.002997058
FABP5P3,0.009375685,0.008542969
KCNF1,0.009354703,0.0068488433
LRRC31,0.009339951,0.0068654446
MSMB,0.009301364,0.007239129
DSC3,0.009224524,0.007196934
TFPI2,0.009221855,0.0024160773
SLC25A10,0.009188307,0.003331213
ORM2,0.00913307,0.004776848
PGR,0.009075254,0.0052156257
IL6,0.009043283,0.0020423483
DCD,0.00899435,0.0011980159
GSTT1,0.008945966,0.0059987684
PRMT1,0.008911876,0.006666104
TTYH1,0.008818643,0.011100536
HOXA5,0.008780749,0.0049492707
CA9,0.008701749,0.0057948674
SLITRK6,0.00867678,0.0040682033
LIPA,0.00857734,0.0041249874
C2CD4B,0.008511537,0.0058210683
CLCA2,0.008444423,0.006054827
DLK1,0.008360697,0.003991168
CPED1,0.008344043,0.004875037
FEN1,0.008341725,0.0014759095
FOLR2,0.008322038,0.0025777253
STIL,0.008310039,0.0035415357
ADIPOR2,0.008307187,0.0051083667
BRINP3,0.00825621,0.0012950815
PPP1R14C,0.008185671,0.0074707293
ZIC2,0.008176889,0.0046515865
SPAG6,0.008156212,0.0042180973
PLAC9P1,0.008152041,0.005771372
CACNA1H,0.008105656,0.004647632
KCNMB1,0.00808857,0.0024094316
KRT18,0.008022854,0.004016241
FLJ20021,0.007992991,0.0059236703
CFH,0.007967398,0.0045057335
ASPM,0.007930859,0.003544653
FUT3,0.007794355,0.003118225
NCCRP1,0.007747777,0.006320248
RBM24,0.0077068578,0.0012784603
KRT6A,0.0075386167,0.0026751333
ACTR3B,0.007529691,0.00085737236
SERPINA6,0.007507869,0.0012986076
FGG,0.00749138,0.004958097
SCNN1G,0.0074734106,0.0033911911
AURKB,0.007410905,0.004292786
GIMAP6,0.007370309,0.002137894
MDK,0.007336178,0.0054412964
MPC2,0.007319011,0.004338928
TRIM29,0.0072887437,0.004875917
SYNE4,0.0072782133,0.0018524987
GSDMC,0.007220746,0.004711689
RALYL,0.007184569,0.0027480205
PI16,0.00717391,0.0035900185
CHURC1,0.0071266554,0.004010568
SCGB1B2P,0.0070825415,0.0019839883
CST9L,0.0070813806,0.0038551302
FABP7,0.007033147,0.0021007177
MIA,0.007002024,0.0031486668
CST4,0.0069181807,0.003545829
FGB,0.0068768496,0.0002564984
IL1B,0.0068420703,0.0059062517
UBE2C,0.0067801857,0.0014460105
WDR54,0.006778412,0.004886928
NSG2,0.006725897,0.0038876138
DDIT4L,0.0066970205,0.004786557
RTN1,0.00664196,0.00310917
WARS1,0.0066279685,0.0023098993
GABBR2,0.006612675,0.0038420123
CP,0.006609332,0.0032361706
MMP10,0.0065912837,0.0032405981
PTTG3P,0.006513794,0.0037370648
SCGN,0.0064982297,0.0034595777
MLPH,0.0064632124,0.004113689
NXPH1,0.006446556,0.0031083378
S100A7A,0.006402852,0.003788771
TFPI,0.0063958354,0.0050876606
CRISPLD1,0.0063932524,0.0046767974
SLC30A2,0.0063912813,0.0037172888
CXCL13,0.0063797664,0.0041268496
HSD17B1,0.0063612917,0.0025123556
FOXC1,0.0063149817,0.004074344
CHGB,0.006300296,0.0039976337
PNMT,0.006295834,0.001110219
MUC16,0.006290265,0.0064731627
SHROOM1,0.006263177,0.0050961217
KCNC2,0.0062473146,0.0030393922
TMEM25,0.0062452788,0.0038333784
SRPK3,0.0062437155,0.0060146204
PGC,0.006243326,0.0042053005
GOLGA2P7,0.0062221917,0.0046248734
C2CD2,0.006218651,0.0073881834
TCEAL2,0.0061987727,0.0054456806
CSAD,0.0061606807,0.0023744619
